177	79	56	193	37	248	148	155	163	250	128	141	133	246	241	25	82	244	181	76	62	192	201	17	92	19	58	96	183	36	179	205	
247	57	90	146	221	138	92	87	104	66	47	67	211	79	100	48	250	109	180	196	111	51	61	76	171	139	72	71	23	135	182	44	
156	229	105	206	61	152	25	125	3	140	33	193	238	166	15	225	88	67	8	206	155	135	212	114	97	15	51	18	252	182	34	90	
219	135	22	136	171	83	16	80	170	21	84	189	201	85	14	235	246	208	125	175	132	53	162	196	81	232	204	0	5	230	14	211	
161	236	243	168	49	53	10	62	144	78	35	26	242	55	88	212	163	107	149	142	213	9	152	29	150	28	99	115	233	183	235	37	
234	119	22	5	50	230	208	212	34	154	70	225	74	10	7	237	55	127	150	142	173	172	49	35	24	30	36	197	54	94	234	88	
223	232	169	0	104	124	163	244	112	40	61	143	96	73	168	125	16	192	135	37	226	5	90	238	83	136	138	22	223	208	22	33	
177	34	247	216	31	158	179	112	38	49	175	125	226	250	10	245	190	252	130	198	211	96	184	208	51	240	234	153	82	63	29	205	
103	242	137	121	197	65	208	7	148	148	19	43	63	234	141	117	57	211	186	198	192	108	58	192	12	222	207	92	253	236	162	96	
201	128	177	234	226	67	162	182	203	137	177	111	228	127	245	25	53	212	141	199	24	161	85	40	108	90	31	149	145	31	239	140	
74	178	139	218	123	48	188	148	252	244	109	239	114	116	6	67	177	74	123	177	223	63	183	199	63	53	87	7	107	59	151	94	
177	128	224	90	162	48	101	248	130	70	13	201	1	19	44	93	106	57	36	99	238	172	191	6	89	48	134	152	243	113	195	111	
241	167	213	36	106	183	2	238	241	90	192	3	68	184	171	48	184	197	122	187	103	250	29	31	102	61	200	93	113	190	40	168	
41	238	254	184	89	210	234	197	116	10	8	15	153	171	216	71	71	189	75	31	26	191	102	186	56	226	88	146	186	137	140	185	
205	74	6	145	188	38	16	20	202	209	242	31	124	180	193	50	151	174	65	229	3	178	148	187	162	102	181	190	96	29	228	154	
166	214	55	3	213	240	51	36	89	115	6	34	190	122	87	7	185	167	95	138	77	21	188	63	137	20	76	69	216	204	57	168	
76	160	66	174	112	209	107	73	150	80	9	55	114	93	12	18	234	207	118	43	11	49	68	188	140	146	43	167	179	78	157	138	
17	52	144	233	113	50	82	97	197	15	171	20	109	238	75	131	125	164	175	87	234	177	190	91	34	236	80	202	204	246	128	78	
249	172	143	71	106	22	46	85	10	25	141	248	21	248	67	163	81	111	162	54	104	60	143	28	38	21	84	235	13	37	47	197	
1	4	105	6	228	126	210	16	225	71	209	178	48	54	221	180	195	245	66	171	204	198	169	155	105	65	148	132	42	247	229	53	
158	225	87	83	250	26	238	162	134	136	12	234	202	230	13	45	35	187	224	250	115	149	158	135	161	8	31	233	223	130	13	213	
240	25	159	146	202	89	132	141	151	241	32	79	157	60	102	156	22	111	71	20	218	220	233	200	211	156	158	122	15	160	181	49	
160	169	69	99	52	83	53	67	99	29	28	172	221	175	153	184	126	251	123	165	68	11	15	34	208	253	222	109	247	90	213	121	
190	1	205	22	166	91	168	63	117	55	224	80	201	211	223	27	148	139	67	191	208	142	241	116	209	139	14	244	203	63	153	246	
184	234	41	159	107	23	246	99	39	83	123	61	111	190	130	87	21	74	184	172	109	9	94	52	216	11	103	162	155	23	184	54	
234	148	115	166	172	56	232	56	49	56	217	242	64	100	74	236	196	61	174	118	158	1	176	177	90	106	31	97	208	34	170	189	
82	96	173	65	141	107	216	163	191	203	164	153	202	125	97	78	251	178	238	16	158	98	177	249	136	26	13	70	86	67	26	14	
246	207	73	67	238	116	21	226	251	65	178	27	223	108	157	126	218	228	97	227	232	65	15	180	101	214	182	13	176	84	136	110	
136	212	108	100	125	42	162	228	100	79	133	13	70	168	233	212	177	238	36	69	18	126	79	128	122	176	243	144	176	179	52	140	
85	8	114	152	104	248	219	235	92	49	40	109	224	247	1	20	137	208	15	49	116	9	233	205	25	5	235	137	156	241	112	32	
82	49	104	133	139	18	109	122	129	135	12	37	7	243	104	103	202	47	108	60	202	24	80	4	37	53	52	159	54	221	18	70	
194	6	40	138	55	108	80	211	46	135	230	118	74	6	22	103	229	254	24	97	23	128	243	44	231	93	161	194	121	254	210	57	
